label	question	sentence
1	What did Wiesner shout out in front of the press during a presentation by von Braun?	Webb jumped in and defended von Braun, until Kennedy ended the squabble by stating that the matter was "still subject to final review".
1	Where is Energiprojekt AB based?	Although the reciprocating steam engine is no longer in widespread commercial use, various companies are exploring or exploiting the potential of the engine as an alternative to internal combustion engines.
1	what other digital TV service took Sky UK Limited's most popular spot?	It is the UK's largest pay-TV broadcaster with 11 million customers as of 2015.
1	Who was the Bauhaus typeface originally designed by in the 1920s?	The logo's simplicity made it easier to redesign and duplicate, which conferred a benefit for ABC (mostly before the advent of computer graphics).
1	What is the most common form of oxygen on the planet?	It is the form that is a major part of the Earth's atmosphere (see Occurrence).
1	What does NADPH store?	They then use the ATP and NADPH to make organic molecules from carbon dioxide in a process known as the Calvin cycle.
1	There are 34 cities in southern California that have a population exceeding what number?	Many of southern California's most developed cities lie along or in close proximity to the coast, with the exception of San Bernardino and Riverside.
1	What innovation in Mongolian language is credited to Genghis Khan?	Genghis Khan is regarded as one of the prominent leaders in Mongolia's history.
1	What type of surveys show the location of stratigraphic units in the subsurface?	In the laboratory, stratigraphers analyze samples of stratigraphic sections that can be returned from the field, such as those from drill cores.
1	What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?	For example, the problem of squaring an integer can be reduced to the problem of multiplying two integers.
0	Because of certain statements what was the believed state of his religious views?	However, his religious views remain uncertain due to other statements that he made.
0	Does BSkyB carry any control over the picture quality of a channel?	However, even in this case, BSkyB does not carry any control over the channel's content or carriage issues such as picture quality.
0	What could inverted repeats help do?	It is possible that the inverted repeats help stabilize the rest of the chloroplast genome, as chloroplast DNAs which have lost some of the inverted repeat segments tend to get rearranged more.
1	During what period the drainage basin of the Amazon likely split?	Within the last 5–10 million years, this accumulating water broke through the Purus Arch, joining the easterly flow toward the Atlantic.
0	What did Biraben say about the plague in Europe?	According to Biraben, the plague was present somewhere in Europe in every year between 1346 and 1671.
1	How many volumes does the John Crerar Library roughly hold?	Harper Memorial Library no longer contains any volumes; however it is, in addition to the Regenstein Library, a 24-hour study space on campus.
1	What is the shortened name of the annual yacht race that takes place?	Southern California is also important to the world of yachting.
0	How many types of thylakoids are there?	There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.
1	What would type of studying would require a teacher to take on a supervisor role?	A teacher's professional duties may extend beyond formal teaching.
0	What happened to the things inside the lab after it was torn down?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.
0	Who was the first Warsaw President?	The first Warsaw President was Jan Andrzej Menich (1695–1696).
0	How are chloroplasts similar to mitochondria?	Chloroplasts, like mitochondria, contain their own DNA, which is thought to be inherited from their ancestor—a photosynthetic cyanobacterium that was engulfed by an early eukaryotic cell.
0	How many people lived in Warsaw in 1939?	In 1939, c. 1,300,000 people lived in Warsaw, but in 1945 – only 420,000.
1	When was the military-political complex reflected upon within the scope of understanding imperialism?	Hobson argued that domestic social reforms could cure the international disease of imperialism by removing its economic foundation.
1	Which amino acids contain sulfur?	Cysteine is made in the chloroplast (the proplastid too) but it is also synthesized in the cytosol and mitochondria, probably because it has trouble crossing membranes to get to where it is needed.
0	What type of writings did the reading of the Qur'an bring out in Luther?	He went on to produce several critical pamphlets on Islam, which he called "Mohammedanism" or "the Turk".
0	When did Warsaw become the center of the Congress Poland?	Following the Congress of Vienna of 1815, Warsaw became the centre of the Congress Poland, a constitutional monarchy under a personal union with Imperial Russia.
1	What network was designed by the french	First demonstrated in 1973, it was developed to explore alternatives to the early ARPANET design and to support network research generally.
0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).
1	In which two codes were the roles of pharmacists codified?	In Japan, at the end of the Asuka period (538–710) and the early Nara period (710–794), the men who fulfilled roles similar to those of modern pharmacists were highly respected.
0	Who notably improved the Savery water pump?	Bento de Moura Portugal introduced an ingenious improvement of Savery's construction "to render it capable of working itself", as described by John Smeaton in the Philosophical Transactions published in 1751.
0	When did Europe slowly begin to warm up from the last Ice Age?	As northwest Europe slowly began to warm up from 22,000 years ago onward, frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring.
1	When was the first plastome sequenced?	It is also known as the plastome.
0	How quickly is the sea level rising?	In the southern North Sea, due to ongoing tectonic subsidence, the sea level is still rising, at the rate of about 1–3 cm (0.39–1.18 in) per century (1 metre or 39 inches in last 3000 years).
0	In what year did Harvard President Joseph Willard die?	When the Hollis Professor of Divinity David Tappan died in 1803 and the president of Harvard Joseph Willard died a year later, in 1804, a struggle broke out over their replacements.
0	What is the common term for the loss of key members of French society to Huguenot emigration?	The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society.
1	What were the native inhabitants of Australia called?	The principles of imperialism are often generalizable to the policies and practices of the British Empire "during the last generation, and proceeds rather by diagnosis than by historical description".
0	Who congratulated the SNP while vowing to campaign against their referendum?	Cameron congratulated the SNP on their victory but vowed to campaign for the Union in the independence referendum.
1	What is another name for teaching within the family?	Formal teaching may be carried out by paid professionals.
0	The UMC believes that Jesus abolished the death penalty in what Bible verse?	The United Methodist Church also believes that Jesus explicitly repudiated the lex talionis in Matthew 5:38-39 and abolished the death penalty in John 8:7.
0	What was he studying that gave him the teleforce weapon idea?	Later in life, Tesla made claims concerning a "teleforce" weapon after studying the Van de Graaff generator.
0	What underground railways cover much of Tyne and Wear?	The city is served by the Tyne and Wear Metro, a system of suburban and underground railways covering much of Tyne and Wear.
1	What is the lowest recorded temperature in Victoria?	Temperature extremes for the state are listed in the table below:
1	What did Tesla patent in 1891?	On 30 July 1891, at the age of 35, Tesla became a naturalized citizen of the United States, and established his South Fifth Avenue laboratory, and later another at 46 E. Houston Street, in New York.
0	What received a battering during the Siege of Newcastle?	The church tower received a battering during the Siege of Newcastle by the Scots who finally breached the Town Wall and forced surrender.
1	Juvenile and adult  beroe lack what?	Development of the fertilized eggs is direct, in other words there is no distinctive larval form, and juveniles of all groups generally resemble miniature cydippid adults.
0	In what city is the Nikola Tesla Museum?	" This treatise is currently in the Nikola Tesla Museum archive in Belgrade.
1	What portion of Luther's last statement was in German?	A piece of paper was later found on which Luther had written his last statement.
1	What type of housing was erected in Warsaw as part of the Bricks for Warsaw process?	The city resumed its role as the capital of Poland and the country's centre of political and economic life.
0	What were the two Huguenot neighborhoods created in Berlin?	In Berlin, the Huguenots created two new neighbourhoods: Dorotheenstadt and Friedrichstadt.
1	To which year has the Rococo Augustus Rex Bureau Cabinet been dated?	There are a set of beautiful inlaid doors, dated 1580 from Antwerp City Hall, attributed to Hans Vredeman de Vries.
1	When did the Jin dynasty begin?	During the Yuan dynasty, one of Confucius' descendants moved from China to Goryeo era Korea and established a branch of the family there after marrying a Korean woman.
0	What was the average cost for a 30 second commercial during Super Bowl 50?	CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game.
0	When could a teacher act in the role of a parent?	While a child was in school, a teacher was expected to act as a substitute parent, with all the normal forms of parental discipline open to them.
0	The papers of which famous English Victorian author are collected in the library?	Writers whose papers are in the library are as diverse as Charles Dickens and Beatrix Potter.
1	Where would profits go in this new company?	Based on Tesla's patents and other ideas they agreed to back him financially and handle his patents.
1	Which Spanish officer established the settlement at St. Augustine?	In 1562, naval officer Jean Ribault led an expedition that explored Florida and the present-day Southeastern U.S., and founded the outpost of Charlesfort on Parris Island, South Carolina.
0	How are 'un-aided' schools different from 'aided' schools?	The private 'un-aided' schools are fully funded by private parties.
1	What was the most important of these cities or towns?	The city's political institutions and the university were all handed over to the Huguenots.
0	When did Maududi found the Jamaat-e-Islami party?	Maududi founded the Jamaat-e-Islami party in 1941 and remained its leader until 1972.
1	What was Temur Khan's Chinese-style name?	Temür Khan decided to maintain and continue much of the work begun by his grandfather.
0	How do ctenophores control buoyancy?	It is uncertain how ctenophores control their buoyancy, but experiments have shown that some species rely on osmotic pressure to adapt to water of different densities.
1	What are auricles?	The Lobata have a pair of lobes, which are muscular, cuplike extensions of the body that project beyond the mouth.
1	What crime drama debuted on ABC in September 1994?	Daniel Burke departed from Capital Cities/ABC in February 1994, with Thomas Murphy taking over as president before ceding control to Robert Iger.
0	What style were the mass constructed residential blocks designed in?	Mass residential blocks were erected, with basic design typical of Eastern bloc countries.
0	What is Victoria's largest non-Christian religion?	Buddhism is the state's largest non-Christian religion, with 168,637 members as of the most recent census.
1	Which player recovered possession of the ball in the end zone?	This was the first fumble return touchdown in a Super Bowl since Super Bowl XXVIII at the end of the 1993 season.
1	It is now possible to convert old relative ages into what type of ages using isotopic dating?	Previously, geologists could only use fossils and stratigraphic correlation to date sections of rock relative to one another.
1	The Art Deco style of glassware is represented by which artist?	The stained glass collection is possibly the finest in the world, covering the medieval to modern periods, and covering Europe as well as Britain.
0	What are the points of algebro-geometric objects?	Prime ideals are the points of algebro-geometric objects, via the notion of the spectrum of a ring.
0	What compounds in the stomach protect against ingested pathogens?	In the stomach, gastric acid and proteases serve as powerful chemical defenses against ingested pathogens.
1	what is Internet2	In October, 2007, Internet2 officially retired Abilene and now refers to its new, higher capacity network as the Internet2 Network.
0	How old was Martin Luther when he married?	At the time of their marriage, Katharina was 26 years old and Luther was 41 years old.
1	After its re-opening, which types of movies did the Tower Theatre show?	Also in the Tower District is Good Company Players' 2nd Space Theatre.
1	What type of support does co-teaching provide?	Co-teachers work in sync with one another to create a climate of learning.
1	Where does the Rhine encounter it's tributary the Neckar?	Most of Luxembourg and a very small part of Belgium also drain to the Rhine via the Moselle.
0	Who is responsible for operating the electronic voting equipment and chamber clocks?	A vote clerk sits in front of the Presiding Officer and operates the electronic voting equipment and chamber clocks.
1	when was the Victoria and Albert museum founded?	These include the Natural History Museum, the Science Museum and the Royal Albert Hall.
1	The French church in Portarlington was built when?	Examples include the Huguenot District and French Church Street in Cork City; and D'Olier Street in Dublin, named after a High Sheriff and one of the founders of the Bank of Ireland.
1	Why is Warsaw's flora very rich in species?	The flora of the city may be considered very rich in species.
1	How did the leaders of the city of Bukhara respond to the Mongol attack?	Genghis Khan had the city's surviving population assemble in the main mosque of the town, where he declared that he was the flail of God, sent to punish them for their sins.
1	Which theory suggested people in the tropics were uncivilized?	For instance, American geographer Ellen Churchill Semple argued that even though human beings originated in the tropics they were only able to become fully human in the temperate zone.
1	What properties are analyzed with a conoscopic lens by petrologists?	Two of the primary methods for identifying rocks in the laboratory are through optical microscopy and by using an electron microprobe.
1	When did Archbishop Albrecht send Luther's letter containing the 95 Theses to Rome?	Archbishop Albrecht of Mainz and Magdeburg did not reply to Luther's letter containing the 95 Theses.
1	Which descendant of Genghis Khan is remembered as having reunified China?	In general the legacy of Genghis Khan and his successors, who completed the conquest of China after 65 years of struggle, remains a mixed topic.[citation needed]
1	When rock formations are found on top of a fault that have not been cut, then they must be older or younger than the fault?	Finding the key bed in these situations may help determine whether the fault is a normal fault or a thrust fault.
0	Why do some tribes use remote sensing technology?	The use of remote sensing for the conservation of the Amazon is also being used by the indigenous tribes of the basin to protect their tribal lands from commercial interests.
0	what is Internet2	Internet2 is a not-for-profit United States computer networking consortium led by members from the research and education communities, industry, and government.
1	The V&A has the world's most comprehensive collection of sculptures from which period?	There are approximately 22,000 objects in the collection that cover the period from about 400 AD to 1914.
1	Where are some words from the Geordia dialect used?	"Bairn" and "hyem", meaning "child" and "home", respectively, are examples of Geordie words with origins in Scandinavia; barn and hjem are the corresponding modern Norwegian and Danish words.
0	What was the percentage of Non-Hispanic Whites in 2010?	. Non-Hispanic Whites were 30.0% of the population in 2010, down from 72.6% in 1970.
0	What was the steam engine an important component of?	The stationary steam engine was a key component of the Industrial Revolution, allowing factories to locate where water power was unavailable.
1	Early in the fourth quarter, The Broncos drove to what yard line of the Panthers?	On the next play, Ealy knocked the ball out of Manning's hand as he was winding up for a pass, and then recovered it for Carolina on the 50-yard line.
1	When did Dyrrachium  fall to the Normans?	The Albanian forces could not take part in the ensuing battle because it had started before their arrival.
1	What was the name of the Norman castle?	Later, many took up service with the Armenian state further south in Cilicia and the Taurus Mountains.
1	Whose puppet did Islamists accuse the Saudi regime of being?	But when Saddam, secularist and Ba'athist dictator of neighboring Iraq, attacked Saudi Arabia (his enemy in the war), western troops came to protect the Saudi monarchy.
0	When did the Meuse and Waal merge?	From 1421 to 1904, the Meuse and Waal merged further upstream at Gorinchem to form Merwede.
1	Where can the entire sedimentary sequence of the Grand Canyon be seen in less than the length of a meter?	Extension causes the rock units as a whole to become longer and thinner.
0	What did higher material living standards lead to for most of human history?	For most of human history higher material living standards – full stomachs, access to clean water and warmth from fuel – led to better health and longer lives.
0	What causes rock extension?	This is primarily accomplished through normal faulting and through the ductile stretching and thinning.
1	In what year was the school renamed as Harvard College?	It was initially called "New College" or "the college at New Towne".
1	With which museum does the V&A co-owns Canova's The Three Graces?	The collection of Italian, Medieval, Renaissance, Baroque and Neoclassical sculpture (both original and in cast form) is unequalled outside of Italy.
0	What year did AGOA take effect?	Since AGOA took effect in 2000, Kenya's clothing sales to the United States increased from US$44 million to US$270 million (2006).[citation needed]
1	What is being overhauled as part of the improvement works?	Longer term plans include the procurement of an entirely new fleet of trains and further extensions to the system.
0	Where did Luther describe the resting place of the saints?	In his Smalcald Articles, he described the saints as currently residing "in their graves and in heaven."
1	What is the name of the service that gets local businesses contract chances with the Super Bowl?	The host committee has already raised over $40 million through sponsors including Apple, Google, Yahoo!, Intel, Gap, Chevron, and Dignity Health.
1	What term is shorthand for antibody generators?	In immunology, self molecules are those components of an organism's body that can be distinguished from foreign substances by the immune system.
0	The outside of the CM was covered in what kind of material?	Its exterior was covered with an ablative heat shield, and had its own reaction control system (RCS) engines to control its attitude and steer its atmospheric entry path.
1	In what year did Lavoisier publish his work on combustion?	In one experiment, Lavoisier observed that there was no overall increase in weight when tin and air were heated in a closed container.
0	Where did he live while he was looking good?	He was an elegant, stylish figure in New York City, meticulous in his grooming, clothing, and regimented in his daily activities.
1	When did oxygen begin to move from the oceans to the atmosphere?	For the first billion years, any free oxygen produced by these organisms combined with dissolved iron in the oceans to form banded iron formations.
1	What buildings held the Milton Friedman Institute?	In 2008, the University of Chicago announced plans to establish the Milton Friedman Institute which attracted both support and controversy from faculty members and students.
0	How long was Warsaw occupied by Germany?	Warsaw was occupied by Germany from 4 August 1915 until November 1918.
1	What were the first two destinations of Huguenot emigres?	A group of Huguenots was part of the French colonisers who arrived in Brazil in 1555 to found France Antarctique.
1	Who translated this version of the scriptures?	The availability of the Bible in vernacular languages was important to the spread of the Protestant movement and development of the Reformed church in France.
0	What court is able to interpret European Union law?	The European Court of Justice is the supreme judicial body which interprets EU law, and develops it through precedent.
0	What did Gano hit on his 44-yard field goal attempt?	But the Broncos defense halted the drive on the 26-yard line, and it ended with no points when Graham Gano hit the uprights on a 44-yard field goal attempt.
0	Who has limited productive potential when faced with less access to education?	Conversely, education raises incomes and promotes growth because it helps to unleash the productive potential of the poor.
1	What two other rulers had their graves hidden under a river?	Other tales state that his grave was stampeded over by many horses, and that trees were then planted over the site, and the permafrost also did its part in hiding the burial site.
0	What magnitude of earthquake can many faults produce?	Many faults are able to produce a magnitude 6.7+ earthquake, such as the San Andreas Fault, which can produce a magnitude 8.0 event.
1	What did Luther's opponents think that it meant about God's presence?	Zwingli, for example, denied Jesus' ability to be in more than one place at a time but Luther stressed the omnipresence of his human nature.
1	What has successfully dealt with ozone depletion?	The IPCC process on climate change and its efficiency and success has been compared with dealings with other environmental challenges (compare Ozone depletion and global warming).
0	What does high levels of inequality do to growth in poor countries?	According to work by Barro in 1999 and 2000, high levels of inequality reduce growth in relatively poor countries but encourage growth in richer countries.
1	What South African industry descended from Huguenot settlers?	Many of the farms in the Western Cape province in South Africa still bear French names.
1	What subatomic particle did Tesla deny the existence of?	He was a believer in the 19th century concept of an all pervasive "ether" that transmitted electrical energy.
1	During what time did civilization in the Amazon was flourishing when Orellana made his observations?	It is believed that the civilization was later devastated by the spread of diseases from Europe, such as smallpox.
1	What river runs through Warsaw?	Its population is estimated at 1.740 million residents within a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.
1	Who was the Associate Administrator that Houbolt spoke with?	Many engineers feared that a rendezvous —let alone a docking— neither of which had been attempted even in Earth orbit, would be extremely difficult in lunar orbit.
0	What type of theatre is the Warsaw Fotoplastikon?	The Warsaw Uprising Museum also operates a rare preserved and operating historic stereoscopic theatre, the Warsaw Fotoplastikon.
0	In what year was the Great Internet Mersenne Prime Search project conducted?	In 2009, the Great Internet Mersenne Prime Search project was awarded a US$100,000 prize for first discovering a prime with at least 10 million digits.
1	How did the BBC get audio versions of the lost episodes?	Some episodes have been returned to the BBC from the archives of other countries who bought prints for broadcast, or by private individuals who acquired them by various means.
1	How much money did Dillon, Read & Co offer Mark Woods for NBC Blue?	Once Mutual's appeals against the FCC were rejected, RCA decided to sell NBC Blue in 1941, and gave the mandate to do so to Mark Woods.
0	What does the pleurobrachia have on opposite sides of its body?	From opposite sides of the body extends a pair of long, slender tentacles, each housed in a sheath into which it can be withdrawn.
1	In what year was the agreement to allow the Saarland settlement reached?	The community and its congregation remain active to this day, with descendants of many of the founding families still living in the region.
1	A Doctor Who show featuring Vincent Van Gogh was recognized by what award?	In 2009, Doctor Who was voted the 3rd greatest show of the 2000s by Channel 4, behind Top Gear and The Apprentice.
1	What was the hymn based on?	His "Gelobet seist du, Jesu Christ" ("Praise be to You, Jesus Christ") became the main hymn for Christmas.
1	When was the Battle of Hastings?	The nobility of England were part of a single Normans culture and many had lands on both sides of the channel.
0	What city later became Beijing?	Kublai readied the move of the Mongol capital from Karakorum in Mongolia to Khanbaliq in 1264, constructing a new city near the former Jurchen capital Zhongdu, now modern Beijing, in 1266.
0	What is the name of Elementary Schools?	There are many differences between the teachers for elementary schools (Grundschule), lower secondary schools (Hauptschule), middle level secondary schools (Realschule) and higher level secondary schools (Gymnasium).
1	How many gold medals did Kenya win during the Beijing Olympics?	New athletes gained attention, such as Pamela Jelimo, the women's 800m gold medalist who went ahead to win the IAAF Golden League jackpot, and Samuel Wanjiru who won the men's marathon.
1	When did WLS launch a lineup of ABC radio programs?	In May 1960, ABC purchased Chicago radio station WLS, which had shared airtime with WENR since the 1920s.
0	What has been getting much better in the most recent years?	However, average teacher salaries have improved rapidly in recent years.
1	What can it sometimes take up to 14 years to get permission to build on?	Other causes of extra-legal property are failures to notarize transaction documents or having documents notarized but failing to have them recorded with the official agency.
0	What were the first two stations to carry ABC's programming?	Since its inception, ABC has had many affiliated stations, which include WABC-TV and WPVI-TV, the first two stations to carry the network's programming.
1	How many people lived in Warsaw in 1939?	Unfortunately this belief still lives on in Poland (although not as much as it used to be)
0	When did BSkyB launch it's HDTV service?	BSkyB launched its HDTV service, Sky+ HD, on 22 May 2006.
0	What happened with the rate of flow in the Rhine with the straightening program?	The rate of flow was increased and the ground water level fell significantly.
0	What was the resolution of the cameras used in the EyeVision 360 system?	(An earlier version of EyeVision was last used in Super Bowl XXXV; for Super Bowl 50, the cameras were upgraded to 5K resolution.)
0	What does a country acquire as it develops?	As a country develops, it acquires more capital, which leads to the owners of this capital having more wealth and income and introducing inequality.
1	What was the defeat of the Arab troops at the hand of the Israeli troops during the Six-Day War?	The defeat along with economic stagnation in the defeated countries, was blamed on the secular Arab nationalism of the ruling regimes.
0	How many granal thylakoids can be in each granum?	Each granum can contain anywhere from two to a hundred thylakoids, though grana with 10–20 thylakoids are most common.
1	Which tribe did Temüjin move in with at nine years of age?	Temüjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12.
0	What team did the Panthers defeat?	They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995.
1	Who was New France's governor?	He had primarily been concerned about the extended supply line to the forts on the Ohio, and had sent Baron Dieskau to lead the defenses at Frontenac against Shirley's expected attack.
0	What industry has managed to survive major military spending cutbacks?	Although military spending cutbacks have had an impact, aerospace continues to be a major factor.
1	Why is Jochi's reported alliance with the Muslims historically suspect?	He concludes his story with the clearly apocryphal statement by Jochi: "Genghis Khan is mad to have massacred so many people and laid waste so many lands.
0	What year was Jamukha elected Gür Khan?	In 1201, a khuruldai elected Jamukha as Gür Khan, "universal ruler", a title used by the rulers of the Qara Khitai.
0	What did Schurf's letter say  Luther's return caused?	After the sixth sermon, the Wittenberg jurist Jerome Schurf wrote to the elector: "Oh, what joy has Dr. Martin's return spread among us!
0	How many PD rings are there?	Next, the two plastid-dividing rings, or PD rings form.
1	D'Olier Street is named after whom?	Numerous signs of Huguenot presence can still be seen with names still in use, and with areas of the main towns and cities named after the people who settled there.
0	What is the festival of food and drink known as?	EAT!
0	What's the name of where the Rhine branches off near Dordrecht?	The Oude Maas branches off, near Dordrecht, farther down rejoining the Nieuwe Maas to form Het Scheur.
1	What other terminology is considered much more destructive?	Christian Bay's encyclopedia article states that civil disobedience requires "carefully chosen and legitimate means," but holds that they do not have to be non-violent.
0	What party had a victory in the 2015 UK election?	Following the Conservative victory in the 2015 UK election, standing orders of the House of Commons were changed to give MPs representing English constituencies a new "veto" over laws only affecting England.
1	What French animation studio did ABC purchase in 1993?	In 1993, the FCC repealed the Financial Interest and Syndication Rules, once again allowing networks to hold interests in television production studios.
1	When was the British East India Company established?	With the establishment of trading posts in India, the British were able to maintain strength relative to others empires such as the Portuguese who already had set up trading posts in India.
0	What do some believe the Treaty of Versailles assisted in?	The Treaty of Versailles and this particular provision, in general, caused much resentment in Germany and is often cited as helping Adolf Hitler's rise to power.
0	Luther treated Jews in a like way as he treated what group?	In his later years, Luther grew more hostile toward the Jews, writing against them with the kind of venom he had already unleashed on the Anabaptists, Zwinglianism, and the papacy.
1	Since when was the Rhine part of the areal of Hallstatt culture?	The Rhine was not known to Herodotus and first enters the historical period in the 1st century BC in Roman-era geography.
0	What Doctor Who episode won a Hugo Award in 2010?	, "The Girl in the Fireplace" (2007), "Blink" (2008), "The Waters of Mars" (2010), "The Pandorica Opens"/"The Big Bang" (2011), and "The Doctor's Wife" (2012).
1	When did Tesla graduate?	Tesla was able to perform integral calculus in his head, which prompted his teachers to believe that he was cheating.
0	What is the most common form of oxygen on the planet?	The common allotrope of elemental oxygen on Earth is called dioxygen, O_2.
1	Who designed the "50"?	In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated "50".
1	What session is the Scottish Parliament in?	Mandatory Committees are committees which are set down under the Scottish Parliament's standing orders, which govern their remits and proceedings.
1	When was Johann Tetzel sent by the Roman Catholic Church to Germany to sell indulgences?	The benefits of good works could be obtained by donating money to the church.
0	When was the last time San Francisco hosted a Super Bowl?	The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers.
1	what did he do for $2 a day?	He even lost control of the patents he had generated since he had assigned them to the company in lieu of stock.
1	How many reptiles have been discovered in the Amazon region?	One in five of all the bird species in the world live in the rainforests of the Amazon, and one in five of the fish species live in Amazonian rivers and streams.
1	Is the packet header long	Routing a packet requires the node to look up the connection id in a table.
1	Who gave Tesla money to go to Prague?	Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.
0	How many times less is the strenght of the weak field compared to the strong?	The word "weak" derives from the fact that the field strength is some 1013 times less than that of the strong force.
0	What is impact melt that some samples of moon rocks show?	Some of the returned samples are of impact melt (materials melted near an impact crater.)
1	What was Luther's marriage seen as by others?	He had long condemned vows of celibacy on Biblical grounds, but his decision to marry surprised many, not least Melanchthon, who called it reckless.
1	Who first proved Bertrand's postulate?	Another formula is based on Wilson's theorem and generates the number 2 many times and all other primes exactly once.
0	What type of authority do Sudbury schools prefer?	Sudbury model democratic schools claim that popularly based authority can maintain order more effectively than dictatorial authority for governments and schools alike.
1	How do chloroplasts reproduce?	Chloroplasts, like mitochondria, contain their own DNA, which is thought to be inherited from their ancestor—a photosynthetic cyanobacterium that was engulfed by an early eukaryotic cell.
0	When did the formation of the Holocene Rhine-Meuse delta begin?	As sea-level continued to rise in the Netherlands, the formation of the Holocene Rhine-Meuse delta began (~8,000 years ago).
0	Which country had trading posts in India before Britain?	With the establishment of trading posts in India, the British were able to maintain strength relative to others empires such as the Portuguese who already had set up trading posts in India.
0	What did the Shah do when faced with defeat by Genghis Khan's forces?	Near the end of the battle the Shah fled rather than surrender.
1	After the operators are warned by the escape of the steam, what may they then do?	If they were any larger, the volume of escaping steam would itself endanger the crew.[citation needed]
1	What type of curricula is it that a teacher may likely follow?	The objective is typically a course of study, lesson plan, or a practical skill.
0	What years did the original Doctor Who series run?	The 2005 version of Doctor Who is a direct plot continuation of the original 1963–1989 series[note 2] and the 1996 telefilm.
1	Since students do not pay tuition, what do they have to pay for schooling in Victoria?	Public schools, also known as state or government schools, are funded and run directly by the Victoria Department of Education .
0	What are two anti-inflammatory molecules that peak during awake hours?	As well during awake active times, anti-inflammatory molecules, such as cortisol and catecholamines, peak.
0	In what compound is oxygen part of a ring arrangement?	Epoxides are ethers in which the oxygen atom is part of a ring of three atoms.
1	Do adults or juveniles secretions luminesce brighter?	When some species, including Bathyctena chuni, Euplokamis stationis and Eurhamphaea vexilligera, are disturbed, they produce secretions (ink) that luminesce at much the same wavelengths as their bodies.
0	How many museums comprise Harvard Art Museums?	The Harvard Art Museums comprises three museums.
1	What is the frequency of the radio station WBT in North Carolina?	WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina.
1	Which NFL team represented the NFC at Super Bowl 50?	Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.
0	Where did two of Triton's daughters set out on a journey through?	The best-known legend, by Artur Oppman, is that long ago two of Triton's daughters set out on a journey through the depths of the oceans and seas.
0	Who filed an objection to the BBC using the blue police box in Doctor Who merchandise?	In 1998, the Metropolitan Police Authority filed an objection to the trade mark claim; but in 2002, the Patent Office ruled in favour of the BBC.
0	What is CSNET	The Computer Science Network (CSNET) was a computer network funded by the U.S. National Science Foundation (NSF) that began operation in 1981.
0	What are the two principal Asian-American groups living in the west side neighborhood of Fresno?	It is culturally diverse and also includes significant Mexican-American and Asian-American (principally Hmong or Laotian) populations.
1	What is the Scottish Parliament currently in the fourth of?	Subject Committees are established at the beginning of each parliamentary session, and again the members on each committee reflect the balance of parties across Parliament.
1	What is Victoria's largest non-Christian religion?	Victoria is also home of 152,775 Muslims and 45,150 Jews.
1	What fields of study did Martin Luther prefer?	For Luther, reason could be used to question men and institutions, but not God.
1	What persons were not allowed to settle in New France?	The kingdom did not fully recover for years.
1	What Denver player caught the ball 76 times in the 2015 season?	Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards.
0	Where might a teacher teach that is not inside a building?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.
1	What disagreement did Montcalm and Indians have?	The Europeans did not consider them prizes and prevented the Indians from stripping the prisoners of their valuables, which angered the Indians.
0	Where according to gross state product does Victoria rank in Australia?	Victoria's total gross state product (GSP) is ranked second in Australia, although Victoria is ranked fourth in terms of GSP per capita because of its limited mining activity.
0	imperialism often divides countries by using which technique?	This is often through various forms of "othering" (see other) based on racial, religious, or cultural stereotypes.
1	How much has a Lama agreed to be reborn?	In Tibetan Buddhism the teachers of Dharma in Tibet are most commonly called a Lama.
0	WHat were features of Apple Talk	AppleTalk included features that allowed local area networks to be established ad hoc without the requirement for a centralized router or server.
1	What type of manufacturing plant is Victoria soon losing?	Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).
